"x","y","z"
80,8,48
57,65,11
2,76,50
33,34,18
18,34,71
15,81,50
18,44,62
13,5,12
78,44,54
73,70,36
88,42,63
82,83,92
12,90,96
15,10,35
28,96,43
40,90,78
10,79,75
12,84,67
5,53,83
18,41,54
14,47,58
90,61,20
12,34,0
42,45,27
22,34,67
27,49,41
26,87,57
37,94,52
21,31,28
29,55,11
80,99,97
54,81,53
65,16,73
45,95,2
20,95,41
58,39,98
43,22,91
17,73,77
55,65,80
39,12,79
67,4,66
20,97,79
8,77,51
61,5,75
51,1,57
28,82,52
25,51,36
1,39,31
51,38,61
2,34,21
57,15,3
14,63,44
83,26,40
99,44,68
64,9,37
1,39,10
41,72,5
95,26,27
66,77,66
85,29,7
28,36,2
40,26,4
74,16,63
58,92,74
25,77,75
7,80,5
54,6,81
63,50,60
40,39,70
5,84,32
68,22,36
0,42,83
3,28,84
6,79,16
81,13,62
43,38,0
78,7,51
21,39,96
56,28,11
54,63,66
77,68,96
31,2,54
55,77,36
94,92,19
35,35,26
6,39,30
48,24,31
37,93,71
75,40,1
70,62,78
41,79,80
45,65,30
36,60,73
82,74,87
35,25,79
38,31,40
58,90,71
74,92,29
61,68,45
48,51,5
65,32,91
11,61,16
46,56,22
51,41,31
10,96,22
65,50,17
36,5,49
33,77,19
16,35,61
5,1,39
50,32,76
73,37,19
45,97,5
0,48,29
84,8,88
18,50,54
89,38,46
69,47,97
35,29,89
55,28,17
32,96,50
84,20,4
58,48,35
46,4,24
40,77,22
71,12,66
19,47,59
79,45,21
68,71,11
92,9,21
2,78,64
48,80,18
95,37,42
11,82,93
56,32,6
30,49,22
81,10,14
41,27,56
41,88,26
78,40,40
71,39,96
63,89,8
50,68,1
18,77,25
71,89,75
45,48,36
17,6,64
3,33,18
67,82,64
34,48,73
78,87,49
67,60,78
44,58,24
47,72,76
51,33,46
69,95,3
53,65,69
9,82,43
79,21,52
98,53,38
7,81,28
16,42,97
38,9,30
7,70,37
52,43,58
49,60,17
22,77,56
21,1,17
85,81,93
16,84,30
41,65,73
67,38,75
0,51,83
22,69,45
27,92,47
2,86,26
83,66,57
20,9,92
23,43,11
36,2,93
20,81,57
4,30,57
90,99,62
97,98,59
44,76,77
58,51,5
1,66,18
56,84,58
59,76,93
56,40,95
35,13,67
16,31,88
89,14,29
37,61,20
78,69,23
61,95,9
25,16,58
71,5,36
10,69,55
93,46,79
59,2,3
61,8,30
64,87,85
24,74,35
60,48,1
5,48,13
35,74,73
84,45,27
90,55,48
22,77,77
10,78,19
80,84,66
88,69,4
15,76,57
71,83,78
99,58,57
8,19,23
34,40,25
76,47,62
98,89,31
69,33,27
44,90,84
0,46,74
84,93,38
14,75,82
50,20,18
59,14,49
23,50,26
93,72,22
20,53,65
20,26,20
60,78,52
48,72,29
66,48,2
68,49,98
31,56,84
66,71,40
94,49,18
26,89,92
11,80,11
51,87,59
35,71,93
56,28,86
14,11,68
97,21,46
35,65,74
34,87,54
86,5,53
3,10,54
86,26,44
4,96,15
87,1,86
31,25,79
51,9,54
80,74,80
73,37,71
11,46,47
12,51,55
30,15,54
99,43,74
81,62,60
69,59,40
40,53,33
17,23,99
80,81,7
71,1,50
37,71,0
73,39,77
99,98,71
82,34,16
36,75,78
63,3,58
14,57,84
40,41,29
81,36,5
34,36,50
15,89,49
77,58,42
25,80,0
83,71,73
13,42,34
49,28,22
62,37,41
5,0,73
35,10,53
83,77,40
28,30,16
40,25,20
95,79,92
41,9,98
3,93,60
57,16,29
40,49,16
3,13,37
93,40,75
98,28,8
34,94,11
82,99,36
21,59,96
44,31,74
72,12,28
29,37,47
80,27,44
33,96,24
98,65,27
26,12,68
52,81,46
11,73,24
18,76,86
17,37,62
86,20,86
80,62,5
9,26,13
87,66,56
35,50,34
82,99,87
70,90,34
8,68,18
80,23,66
66,41,76
77,78,76
67,7,74
91,68,77
67,19,44
38,60,22
9,65,40
10,45,15
24,68,99
65,14,52
6,46,35
32,89,17
18,98,66
35,66,69
51,58,9
12,53,22
96,96,78
34,84,78
97,40,74
60,36,70
69,53,62
1,37,84
97,6,38
47,67,96
25,82,53
55,9,99
45,66,21
75,75,40
22,7,97
21,37,59
29,53,16
68,30,21
55,38,3
58,96,37
20,69,48
19,26,51
25,37,41
93,25,68
7,76,71
93,32,87
46,29,28
84,92,10
2,84,5
61,3,82
31,0,74
43,47,93
78,20,71
18,95,93
79,36,32
22,56,27
74,60,83
7,81,36
65,72,83
85,86,91
48,9,64
83,28,63
62,87,86
48,37,53
44,91,34
20,7,10
70,94,58
37,6,50
66,13,90
32,67,11
43,64,82
12,74,98
9,63,0
1,35,16
7,78,84
79,34,67
45,24,83
66,50,2
85,31,16
77,37,80
44,75,46
34,98,84
75,98,96
85,1,73
41,79,84
64,32,60
77,6,20
80,10,39
41,18,83
46,29,6
30,21,21
15,6,59
44,45,64
8,39,85
99,61,1
3,43,40
2,64,50
29,96,81
56,55,13
6,8,76
44,21,83
94,90,15
75,76,89
99,27,28
4,97,99
40,33,10
15,49,36
25,5,29
31,90,60
6,20,88
4,18,7
48,14,23
26,65,24
6,64,88
71,79,42
58,56,52
19,93,80
45,44,58
1,44,95
60,99,40
44,45,63
6,35,62
70,65,2
89,54,80
16,30,53
70,98,5
15,52,83
36,73,52
68,76,25
72,85,90
76,65,15
72,58,67
99,64,70
24,41,19
4,94,13
8,91,70
28,18,87
49,68,53
11,68,56
48,6,79
31,99,44
9,69,32
88,36,83
30,13,20
49,55,24
98,28,55
4,14,42
13,97,98
73,57,45
37,77,49
2,96,35
0,88,89
10,24,73
13,21,57
61,66,25
92,76,38
85,94,72
55,13,56
63,11,70
82,69,16
83,50,88
70,66,86
29,26,10
90,18,98
36,23,84
57,75,81
5,9,94
25,95,45
90,66,36
59,38,68
54,25,97
58,15,6
19,55,75
86,10,3
6,24,95
8,37,26
50,80,6
53,69,50
6,74,81
95,69,80
78,34,73
30,14,93
33,13,0
55,46,28
20,50,56
57,76,72
32,40,97
94,97,37
49,43,92
55,34,57
39,86,38
17,59,21
81,85,92
40,32,30
44,0,41
94,40,68
0,66,10
39,28,11
35,56,71
46,54,31
28,5,46
5,24,70
24,82,51
80,1,47
57,80,95
95,2,75
88,26,47
53,7,63
44,42,9
36,59,50
41,23,96
21,45,62
52,12,76
53,73,58
47,72,17
30,0,6
81,45,30
31,51,1
41,29,34
97,72,30
22,83,14
98,80,52
13,70,25
29,77,23
15,40,97
5,2,37
32,6,70
86,63,22
35,35,75
84,36,27
66,40,7
5,47,70
16,14,18
5,87,15
81,35,8
93,55,9
25,41,50
79,8,68
8,53,32
53,4,97
16,70,12
19,34,39
52,1,98
72,13,98
39,5,14
36,34,73
96,71,96
94,88,44
49,18,43
93,35,80
56,59,66
63,35,60
89,10,98
4,76,77
16,53,1
94,85,23
72,54,21
38,55,44
35,96,73
9,20,80
26,0,95
23,59,3
28,84,97
42,74,11
36,85,54
44,85,9
79,12,63
62,37,2
59,6,90
27,39,52
86,40,56
69,72,20
37,83,95
74,25,85
84,97,11
21,18,39
11,74,23
66,82,35
30,58,9
58,9,7
82,62,6
2,5,63
71,5,74
77,88,87
40,88,17
4,69,53
86,3,43
52,33,49
40,58,53
44,75,5
56,99,57
70,65,80
44,29,8
30,4,68
51,65,70
6,34,73
96,18,53
59,52,34
97,23,64
22,56,9
64,72,39
11,31,27
11,24,3
39,83,43
37,82,41
62,67,80
5,85,73
27,85,13
55,15,97
99,86,13
5,42,10
65,65,0
68,85,83
83,34,62
25,0,69
25,28,25
99,46,32
52,95,76
64,35,20
56,13,89
20,67,44
96,47,90
5,35,72
28,56,34
36,96,34
19,62,34
73,41,79
76,82,17
6,45,46
33,32,64
51,3,17
32,71,10
43,92,28
27,68,94
20,23,70
15,2,46
11,61,97
14,42,79
69,97,58
38,46,13
32,73,65
30,82,99
48,31,17
67,70,39
77,35,4
84,54,5
88,81,14
40,56,83
42,86,39
45,64,39
59,2,0
25,22,7
54,5,22
42,25,3
33,83,55
11,89,78
23,93,55
65,2,66
9,28,59
19,88,45
15,74,31
65,9,89
81,60,12
71,40,11
3,13,8
96,14,12
46,10,22
18,3,87
37,96,8
59,34,55
29,98,81
2,88,66
97,32,98
72,41,85
64,15,88
46,51,17
20,92,15
30,10,23
75,12,48
90,95,63
21,78,70
21,50,37
64,86,35
56,67,38
80,9,2
41,24,41
69,22,27
97,83,4
97,31,85
81,20,58
84,39,63
30,71,53
65,49,29
51,94,69
94,6,41
44,13,34
97,11,28
6,45,55
41,95,50
82,75,80
88,93,49
28,34,15
99,50,71
13,86,55
84,37,35
16,6,26
13,58,69
36,1,93
89,56,50
52,55,17
36,72,80
59,76,2
65,82,56
10,58,73
29,21,54
23,40,66
24,78,34
20,38,12
90,68,9
28,95,63
64,63,71
3,46,79
46,71,67
7,46,27
57,8,88
12,51,55
40,62,29
18,40,39
41,22,27
56,38,83
22,66,50
31,69,14
80,71,7
3,57,90
16,77,73
45,61,4
25,58,92
13,99,69
19,0,28
12,5,45
57,41,60
77,96,14
91,84,10
76,59,19
0,39,58
69,4,85
8,85,41
87,61,57
46,65,11
37,91,35
27,41,75
98,60,39
60,49,32
7,14,53
75,12,50
71,65,78
47,72,49
74,60,4
70,10,75
79,71,59
95,84,71
54,80,40
32,30,97
47,32,41
70,92,81
72,12,30
18,53,60
72,87,10
62,61,41
80,17,51
25,30,9
47,97,4
92,71,32
81,31,24
93,69,85
65,82,10
77,96,79
53,71,84
56,6,72
1,6,2
99,44,36
43,45,86
70,58,76
81,56,62
84,38,5
47,46,37
98,85,96
53,81,69
30,57,26
86,61,54
46,53,29
93,55,30
31,87,58
81,17,65
93,81,32
86,5,4
24,73,69
51,70,55
0,67,80
4,97,50
0,34,42
4,77,53
74,14,38
42,83,57
38,49,62
22,58,26
35,89,46
55,88,37
56,31,80
48,95,54
33,10,43
34,91,60
68,14,93
63,71,39
86,11,86
92,97,63
66,61,30
96,0,5
92,12,77
14,21,2
1,44,83
61,64,44
87,60,6
18,44,77
90,91,12
25,36,36
47,5,14
96,93,74
92,57,1
23,46,95
36,94,6
84,20,21
22,40,32
46,49,11
62,25,7
20,34,18
41,96,48
2,46,99
63,45,97
53,15,64
16,67,0
55,65,21
99,51,56
73,92,80
81,99,11
59,82,66
29,3,42
95,7,37
99,29,93
22,5,29
80,79,94
63,30,20
48,71,42
7,27,23
68,92,69
94,18,38
89,1,13
84,61,94
78,67,34
22,13,25
11,74,78
48,91,39
21,65,32
12,82,90
51,77,49
55,56,8
23,16,15
4,98,38
35,55,93
78,56,43
77,1,25
34,76,77
77,28,1
62,70,94
37,12,2
72,88,20
53,93,59
65,76,35
63,23,72
85,42,12
14,87,11
31,6,28
61,35,47
18,56,80
22,88,90
80,54,11
93,10,91
78,57,18
83,20,38
49,98,75
98,90,89
0,23,14
33,52,38
75,74,94
39,44,76
80,14,98
20,53,67
5,19,40
98,40,84
25,24,41
18,32,55
4,47,21
15,88,66
23,6,96
36,14,20
77,36,71
15,68,19
87,35,52
15,34,27
77,7,59
15,56,85
76,55,39
73,90,6
47,40,82
8,21,23
57,25,11
92,43,36
89,90,28
42,88,38
27,8,89
35,71,94
87,3,33
72,4,52
80,61,34
70,25,47
45,31,92
37,48,54
33,95,81
76,99,56
90,31,78
54,41,93
56,55,13
18,27,50
6,70,73
2,10,35
12,73,49
1,15,45
13,81,15
94,77,40
34,79,64
67,85,54
63,9,92
51,23,69
69,58,4
40,22,1
54,66,25
8,87,67
16,91,75
68,63,36
66,31,16
51,4,31
88,84,41
8,5,98
14,85,39
89,26,4
61,9,15
78,83,64
2,0,91
55,44,54
89,60,97
23,93,43
17,4,31
57,44,4
41,24,81
22,80,71
75,52,95
63,25,34
50,26,80
11,18,27
58,90,61
86,8,81
25,71,40
20,57,60
78,21,0
22,88,25
75,9,58
72,1,43
2,67,74
98,32,89
92,39,68
17,41,82
72,34,47
64,84,12
96,53,86
23,23,40
8,19,3
8,41,91
11,80,17
48,30,34
56,68,54
59,63,14
87,49,47
9,83,0
26,23,3
58,92,43
54,90,6
37,63,88
85,33,20
20,45,31
7,63,92
56,73,30
95,40,55
51,28,89
87,56,59
48,32,36
53,36,40
31,58,84
72,28,39
21,41,85
32,81,56
31,35,81
76,95,54
76,26,36
19,30,2
94,14,20
50,99,20
17,29,44
88,46,10
48,53,68
87,22,70
2,83,86
32,3,2
18,51,54
62,55,35
29,17,32
98,2,83
16,49,68
57,87,73
21,41,82
57,43,9
23,50,14
56,36,88
43,57,66
11,88,8
81,88,5
46,81,5
58,4,87
26,81,83
61,23,27
99,20,79
32,98,87
58,32,26
55,84,57
2,8,40
38,45,54
63,75,80
37,74,3
19,99,47
10,94,9
96,0,86
96,56,98
59,6,99
5,35,50
7,20,43
46,1,28
80,71,22
60,6,96
17,56,84
7,36,5
73,21,66
12,24,23
99,30,46
81,80,82
64,72,74
66,42,75
66,85,44
29,33,77
79,19,42
36,27,62
57,55,74
16,59,92
96,70,16
32,28,85
25,38,30
11,20,74
51,39,29
92,96,8
51,35,62
61,55,70
91,54,85
22,86,4
1,16,14
79,24,27
4,57,87
2,0,79
37,86,36
24,33,20
19,67,78
54,47,17
63,94,25
46,56,90
83,14,12
36,48,29
92,96,98
50,60,6
86,24,95
68,39,42
9,15,48
4,19,74
32,8,72
33,80,69
95,5,5
47,60,49
11,80,90
8,60,2
83,77,38
1,13,96
27,38,66
51,16,48
27,12,26
42,17,94
28,2,24
44,32,62
67,28,84
73,99,81
9,95,86
28,21,11
65,82,7
63,97,53
61,85,74
21,62,77
58,5,61
71,47,4
68,36,14
53,59,99
50,52,95
47,47,82
38,64,55
12,87,91
98,15,33
29,65,18
1,64,63
16,74,35
26,16,0
84,51,17
77,46,77
23,75,17
65,37,54
24,48,61
67,42,79
2,85,97
84,17,34
31,84,23
95,47,24
69,83,38
12,53,98
76,79,79
57,35,9
24,71,22
31,37,17
85,10,40
16,51,85
44,77,1
79,99,81
29,38,71
27,40,88
84,85,3
67,27,28
47,89,39
0,2,47
56,89,23
14,97,9
77,12,71
19,51,10
69,66,45
40,26,88
4,78,51
73,21,19
66,28,25
75,69,53
6,62,98
37,30,5
54,44,32
34,55,59
97,12,61
1,99,40
75,65,3
93,85,12
29,13,81
53,0,45
63,97,69
0,59,84
56,26,22
77,20,81
52,86,31
60,33,31
57,18,73
64,86,80
57,78,96
44,46,79
29,76,17
37,44,49
4,42,29
5,91,52
22,24,51
74,61,72
0,94,0
3,58,0
46,89,26
62,37,40
89,12,80
50,35,32
61,55,27
2,1,95
73,35,9
94,90,26
51,98,95
26,58,4
35,61,70
95,62,91
36,89,77
82,73,8
46,13,54
82,55,12
44,93,67
50,31,60
51,85,33
73,16,44
65,94,28
82,77,53
55,81,94
15,58,99
54,10,87
35,54,1
44,79,23
2,33,18
60,42,83
49,7,85
23,78,58
19,91,6
5,17,74
32,21,50
3,68,50
47,21,28
86,83,2
99,23,45
49,97,39
47,29,75
91,89,83
93,31,42
67,51,37
3,71,38
89,22,60
92,97,36
81,67,66
68,21,6
65,41,51
57,63,94
90,67,91
43,19,91
49,40,87
17,6,65
58,87,6
95,79,5
71,33,96
83,60,45
20,35,88
49,56,89
80,74,59
78,63,25
68,33,65
39,6,89
41,1,70
77,36,97
58,54,80
50,70,81
97,27,35
45,14,35
46,3,24
71,32,52
10,29,12
11,52,20
81,53,1
64,66,77
97,64,93
87,36,56
33,22,20
75,21,51
12,57,34
21,2,72
32,16,10
49,15,64
91,5,61
28,58,61
77,81,48
38,37,72
52,17,30
2,15,41
45,31,56
86,55,9
68,80,81
3,70,50
10,39,27
69,97,45
44,30,82
4,17,59
85,52,26
56,55,78
73,2,46
3,24,74
65,40,32
34,1,5
34,56,40
7,77,3
55,97,88
0,75,63
26,96,76
33,0,56
12,29,88
79,27,71
17,99,81
78,71,74
75,1,50
59,97,47
21,74,50
7,97,53
1,55,37
70,67,54
69,25,77
59,29,12
86,48,85
67,32,1
69,85,79
70,33,95
98,44,29
21,86,64
62,46,31
66,53,27
16,80,52
19,99,89
22,22,71
69,37,76
98,35,6
5,70,56
1,56,82
85,32,3
53,21,76
12,36,83
39,65,83
29,84,13
22,50,78
92,88,3
83,57,44
51,83,63
6,27,50
57,42,62
8,33,58
5,61,77
30,30,50
65,60,37
75,92,8
11,50,39
31,61,10
94,21,67
13,49,90
94,14,79
2,40,43
56,26,41
36,12,59
2,94,92
29,78,41
16,8,42
11,57,67
11,77,24
28,2,85
8,98,61
52,88,4
37,46,91
29,46,24
37,1,85
83,58,18
83,91,96
16,55,25
65,49,50
60,7,71
94,4,46
27,33,62
71,98,97
11,93,81
67,10,6
27,12,82
40,66,0
81,32,14
9,50,76
46,30,92
13,21,2
27,75,31
73,48,8
83,67,1
37,65,69
60,37,80
5,97,79
50,91,43
43,54,74
83,11,8
60,59,36
59,25,50
35,1,16
90,91,21
9,38,18
25,49,55
96,19,61
75,72,41
95,90,2
1,35,1
92,38,13
39,51,74
0,94,27
6,82,51
17,47,3
54,88,8
49,16,92
51,97,64
40,60,15
8,41,64
36,52,37
5,74,42
6,59,19
65,30,64
73,12,88
79,70,3
11,51,94
83,71,26
3,7,50
4,0,9
94,42,18
80,75,49
47,86,94
2,29,57
62,88,90
0,5,2
17,5,44
35,95,92
92,4,80
39,57,35
32,31,30
11,77,50
43,68,57
39,42,46
87,82,17
68,88,10
44,51,60
17,86,36
85,3,82
36,13,95
46,0,66
57,67,95
79,55,24
12,25,12
41,86,69
93,32,97
38,42,51
82,93,13
86,42,44
34,68,42
33,90,90
64,22,94
59,44,21
66,23,91
73,20,74
2,73,85
29,90,59
25,98,98
62,1,10
69,20,25
11,75,24
21,85,71
46,0,89
62,22,19
32,42,63
8,80,78
92,91,23
23,37,10
21,54,88
46,30,98
87,22,55
38,23,47
63,89,57
1,25,60
10,88,71
58,75,49
90,85,21
93,37,57
86,73,66
6,52,56
97,4,88
75,89,22
81,94,21
84,77,80
6,5,95
29,26,91
46,51,94
76,8,90
80,91,8
67,69,65
89,33,48
31,83,60
53,60,74
71,73,54
27,41,90
48,71,21
45,26,56
34,28,71
14,89,27
97,27,0
89,87,49
69,85,74
93,11,33
98,19,24
48,35,26
62,15,19
53,96,58
90,17,34
25,18,0
69,67,46
24,84,25
74,59,28
63,25,22
99,80,64
7,89,37
48,43,91
35,74,92
35,73,61
74,78,88
20,58,6
74,58,54
88,24,53
7,17,82
77,9,59
24,95,39
58,1,30
61,59,79
49,11,92
12,86,92
13,35,79
63,23,70
30,17,63
41,64,80
97,73,68
96,55,73
99,38,31
1,48,79
70,68,5
76,22,76
8,49,26
54,30,64
6,87,84
66,92,35
40,0,6
23,62,18
78,59,15
14,44,78
52,65,83
35,59,19
1,50,89
49,4,90
20,37,12
70,9,15
14,48,92
45,21,40
71,73,91
31,87,80
2,33,74
81,68,39
75,0,18
67,68,51
12,85,49
0,59,32
31,16,87
64,44,82
38,59,91
7,35,97
14,11,49
86,5,47
97,96,24
68,45,58
77,26,69
65,63,8
37,51,76
15,83,9
17,43,95
25,83,68
55,8,71
7,97,99
33,31,50
67,14,46
8,83,94
60,34,31
25,86,70
91,93,72
47,7,65
17,21,94
63,10,49
47,2,30
89,92,11
68,13,71
52,1,88
58,67,35
2,12,6
22,21,44
5,19,37
68,22,89
87,85,23
73,39,32
68,18,5
89,99,73
58,96,48
26,68,10
97,79,50
45,14,36
26,31,18
47,1,94
47,68,32
1,3,44
71,52,91
75,53,63
69,97,51
72,65,74
31,62,22
61,2,87
13,75,74
83,50,87
33,69,5
97,31,51
1,12,32
66,76,55
18,20,60
43,1,25
75,70,36
28,96,58
9,61,57
20,33,54
49,2,47
76,21,28
7,54,96
21,48,35
18,36,31
60,88,60
5,89,79
28,31,97
35,82,52
37,80,42
97,87,32
63,9,55
61,2,60
80,45,78
52,50,3
38,80,8
15,29,43
18,19,47
17,57,93
84,5,18
71,1,96
60,11,7
38,4,0
31,1,13
68,83,24
64,91,98
63,11,19
66,38,5
34,89,20
13,25,86
45,34,2
61,93,69
85,95,55
99,84,89
77,20,61
7,62,20
47,78,49
11,10,27
56,45,79
96,22,49
99,74,40
22,82,87
80,68,93
32,71,97
32,29,25
62,83,77
65,13,2
5,59,25
61,34,35
63,72,82
72,10,42
65,63,56
15,6,54
76,48,0
27,14,27
60,76,97
79,90,60
95,89,66
24,33,95
93,14,0
73,2,64
56,89,30
59,76,35
48,83,26
22,91,94
79,52,59
51,16,75
1,80,75
21,46,42
69,7,85
20,3,53
38,37,47
39,93,44
17,95,1
71,46,4
0,87,78
28,22,54
17,53,81
7,21,40
3,84,42
50,12,79
90,14,32
48,34,50
84,26,20
86,20,72
14,13,33
2,33,93
18,25,22
90,26,42
30,0,21
18,98,62
7,98,34
13,80,53
11,20,6
54,80,73
60,65,40
30,81,22
78,36,59
33,63,51
2,76,32
4,7,43
88,18,24
86,77,80
84,70,4
51,52,34
81,87,51
59,90,62
4,69,47
72,35,70
71,81,12
17,9,90
23,70,76
46,12,59
83,60,19
13,80,52
56,53,49
53,23,97
93,14,70
36,71,84
40,39,94
80,99,30
6,42,91
0,85,73
75,29,1
96,18,2
18,75,73
59,28,47
41,29,86
22,47,9
8,43,27
1,64,97
94,24,51
56,85,38
21,62,41
58,3,22
96,14,59
57,33,48
81,92,44
5,87,83
34,7,82
84,12,10
76,11,65
90,37,5
64,79,46
93,38,55
65,63,17
52,88,40
89,83,83
58,17,21
9,24,19
41,46,16
21,97,11
70,70,41
17,71,78
71,90,78
20,28,36
59,95,64
22,56,21
31,38,90
15,94,94
62,70,89
39,50,66
59,33,18
99,19,29
8,42,85
79,51,45
27,36,94
35,32,27
53,13,82
23,33,43
28,55,58
90,73,63
72,8,90
42,44,74
30,71,45
74,65,12
63,76,24
75,31,47
49,30,69
44,39,27
45,44,11
48,3,71
15,16,91
82,27,84
29,25,19
37,80,71
2,50,83
48,82,3
13,62,62
14,39,35
8,51,79
2,17,82
2,46,66
6,33,25
88,84,50
49,72,0
48,58,89
93,15,70
44,78,47
7,20,35
51,13,19
34,40,60
94,8,56
37,57,61
85,88,24
91,92,96
22,7,37
25,41,72
29,54,93
29,90,83
62,3,17
10,49,60
35,87,50
76,46,10
17,83,25
54,15,38
93,43,14
17,98,11
70,84,79
38,86,13
92,74,1
90,38,64
2,20,91
60,57,28
7,78,31
12,64,62
66,70,41
35,39,72
86,82,34
67,49,67
60,90,69
78,79,9
80,17,99
28,28,33
31,40,21
99,92,46
38,61,37
80,11,73
62,6,24
55,49,6
62,16,8
88,82,88
1,45,77
18,65,46
31,31,66
18,3,13
89,44,25
0,77,73
54,45,78
41,65,57
98,59,14
23,45,83
46,1,76
36,92,77
97,29,74
67,64,93
80,67,86
45,9,32
67,80,94
98,16,39
82,76,27
57,86,22
24,43,69
98,23,52
75,87,59
47,23,59
24,84,51
44,86,71
29,94,98
46,26,88
16,81,8
19,73,83
63,15,84
40,64,55
93,71,26
74,59,48
92,22,95
79,50,4
20,93,61
81,33,5
62,82,45
6,1,57
87,83,56
19,47,21
57,80,55
36,2,15
82,2,76
5,31,85
24,97,21
42,91,70
44,77,0
93,12,11
91,64,55
81,11,85
84,70,96
9,34,64
18,50,93
53,10,65
64,2,99
26,84,85
95,59,99
72,19,91
92,74,3
42,1,71
43,35,26
42,48,81
33,50,86
9,98,82
97,23,80
90,23,21
79,53,91
61,82,59
66,97,48
12,78,86
97,85,14
25,60,77
92,24,87
75,18,49
99,25,49
86,53,10
23,69,18
57,95,74
34,98,69
51,91,84
7,93,11
73,23,23
10,59,58
24,1,53
81,15,35
3,91,56
32,55,56
41,43,43
35,24,27
66,0,76
43,13,99
76,2,79
89,92,79
10,64,14
89,9,19
18,94,89
64,69,21
19,17,56
48,37,12
87,37,1
77,62,82
9,2,90
88,60,45
29,31,17
28,10,75
8,72,57
24,16,40
9,66,30
87,60,93
71,74,30
15,62,85
42,50,25
87,82,6
7,30,92
34,56,20
18,85,3
68,92,61
56,46,16
73,89,43
31,65,57
3,98,58
32,53,96
27,60,34
87,55,17
12,51,0
97,72,16
22,52,74
70,5,51
28,10,52
59,80,72
31,95,93
40,33,62
58,79,76
61,14,4
74,60,24
64,38,50
93,43,22
97,17,91
22,40,96
36,57,94
30,83,83
64,10,7
67,24,15
62,49,90
40,61,69
20,24,11
59,17,90
58,2,99
82,13,70
92,79,32
74,38,86
47,12,15
73,97,4
5,6,74
91,14,53
74,65,60
68,25,81
11,6,59
90,81,94
72,61,90
69,72,9
33,30,4
51,48,10
2,33,95
57,19,29
76,3,26
22,97,88
31,12,93
4,98,22
61,58,37
36,18,72
45,28,93
88,8,0
61,59,94
74,91,54
87,40,8
65,57,68
67,51,26
69,4,73
24,74,21
52,28,55
20,51,15
60,9,35
62,25,94
32,69,32
39,44,27
21,88,20
48,48,48
58,18,92
84,42,59
34,8,81
52,9,36
73,67,94
47,48,21
93,39,60
40,54,73
15,77,65
59,3,15
62,4,32
45,29,15
32,1,50
86,19,52
40,20,95
61,38,34
97,30,84
41,78,37
56,97,35
28,67,63
60,73,75
39,88,72
38,90,40
80,46,50
86,45,29
54,63,20
97,85,20
48,23,2
5,88,43
3,65,86
61,87,42
32,84,13
35,54,77
39,49,36
50,68,75
73,25,92
78,87,90
74,18,17
50,54,70
44,80,2
8,51,14
57,66,31
76,29,60
83,14,89
24,52,76
